Run_s	developmental_stage_s
SRR4081198	14 week
SRR4081199	14 week
SRR4081197	10 week
SRR4081200	14 week
SRR4081201	18 week
SRR4199308	5 week
SRR4199309	7 week
SRR4199310	8 week
SRR4199311	12 week
SRR4199312	18 week
SRR4199313	20 week
SRR4199314	20 week
SRR4199315	23 week
SRR4199316	23 week
SRR4199317	24 week
SRR4199318	24 week
SRR4199319	26 week
SRR4199320	4 and 11 week
SRR4199321	9 week
SRR4199322	10 week
SRR4199323	10 week
SRR4199324	12 week
SRR4199325	19 week
SRR4199326	19 week
SRR4199327	19 week
SRR4199328	19 week
SRR4199329	19 week
SRR4199330	19 week
SRR4199331	20 week
SRR4199332	21 week
SRR4199333	21 week
SRR4199334	21 week
SRR4199335	21 week
SRR4199336	21 week
SRR4199337	25 week
SRR4199338	25 week
SRR4199339	25 week
SRR4199340	25 week
SRR4199343	25 week
SRR4199342	25 week
SRR4199341	25 week
SRR4199345	25 week
SRR4199344	25 week
	
